FIPS:10-4,GEC:18,GENC:3.0.0,ISO3166:1
TN,TN,TON,TON
TD,TD,TTO,TTO
TS,TS,TUN,TUN
TU,TU,TUR,TUR
TX,TX,TKM,TKM
TK,TK,TCA,TCA
TV,TV,TUV,TUV
UG,UG,UGA,UGA
UP,UP,UKR,UKR
AE,AE,ARE,ARE
UK,UK,GBR,GBR
US,US,USA,USA
UY,UY,URY,URY
UZ,UZ,UZB,UZB
NH,NH,VUT,VUT
VT,VT,VAT,VAT
VE,VE,VEN,VEN
VM,VM,VNM,VNM
VQ,VQ,VIR,VIR
WF,WF,WLF,WLF
WE,WE,XWB,
WI,WI,ESH,ESH
YM,YM,YEM,YEM
ZA,ZA,ZMB,ZMB
ZI,ZI,ZWE,ZWE
AX,AX,XQZ,
AT,AT,XAC,
FQ,FQ,XBK,
BS,,XBI,
IP,IP,CPT,CPT
CR,CR,XCS,
DX,DX,XXD,
HQ,HQ,XHO,
EU,,XEU,
GO,,XGL,
JN,JN,XJM,SJM
DQ,DQ,XJV,
JQ,JQ,XJA,
JU,,XJN,
KQ,KQ,XKR,
KV,KV,XKS,
MQ,MQ,XMW,
BQ,BQ,XNV,
LQ,LQ,XPL,
PF,PF,XPR,
PG,PG,XSP,
TE,,XTR,
WQ,WQ,XWK,
